theta0,theta1,theta2,theta3,theta4,theta5,g
-20,53,-92,63,0,0,0
-20,53,-92,63,0,0,0
-20,53,-92,63,0,0,0
-20,53,-92,63,0,0,0
-20,53,-92,64,0,0,0
-20,53,-92,64,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,64,0,0,0
-20,53,-92,64,0,0,0
-20,53,-92,63,0,0,0
-20,53,-92,62,0,0,0
-20,53,-92,61,0,0,0
-20,53,-92,61,0,0,0
-20,53,-92,61,0,0,0
-20,53,-92,61,0,0,0
-20,53,-92,61,0,0,0
-20,53,-92,60,0,0,0
-20,53,-92,60,0,0,0
-20,53,-92,60,0,0,0
-20,53,-92,60,0,0,0
-20,53,-92,60,0,0,0
-20,53,-92,60,0,0,0
-20,53,-92,61,0,0,0
-20,53,-92,61,0,0,0
-20,53,-92,61,0,0,0
-20,53,-92,62,0,0,0
-20,53,-92,63,0,0,0
-20,53,-92,64,0,0,0
-20,53,-92,64,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,0
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,1,1
-20,53,-92,65,0,1,1
-20,53,-92,65,0,2,1
-20,53,-92,65,0,2,1
-20,53,-92,65,0,3,1
-20,53,-92,65,0,3,1
-20,53,-92,65,0,3,1
-20,53,-92,65,0,3,1
-20,53,-92,65,0,3,1
-20,53,-92,65,0,3,1
-20,53,-92,65,0,4,1
-20,53,-92,65,0,4,1
-20,53,-92,65,0,5,1
-20,53,-92,65,0,5,1
-20,53,-92,65,0,4,1
-20,53,-92,65,0,3,1
-20,53,-92,65,0,1,1
-20,53,-92,65,0,0,1
-20,53,-92,65,0,-1,1
-20,53,-92,65,0,-2,1
-20,53,-92,65,0,-3,1
-20,53,-92,65,0,-3,1
-20,53,-92,65,0,-3,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,53,-92,65,0,-4,1
-20,52,-92,65,0,-4,1
-20,52,-92,65,0,-4,1
-20,52,-92,65,0,-4,1
-20,51,-92,65,0,-4,1
-20,51,-92,65,0,-4,1
-20,50,-92,65,0,-4,1
-20,50,-92,65,0,-4,1
-20,50,-92,65,0,-4,1
-20,50,-92,65,0,-4,1
-20,50,-92,65,0,-4,1
-20,50,-92,65,0,-4,1
-20,50,-92,65,0,-4,1
-20,50,-92,65,0,-4,1
